"@timestamp","log.original"
"2021-04-14 02:09:38.567","2021-04-14 04:09:38,567 INFO  [main] [org.springframework.boot.actuate.audit.listener.AuditListener] [NONE] - AuditEvent [timestamp=1618366178566, type=ContextRefreshed, appName=order, appVersion=1.0.422, scmRevision=78bc326]"
"2021-04-14 02:09:34.197","2021-04-14 04:09:34,197 INFO  [main] [org.springframework.boot.actuate.audit.listener.AuditListener] [NONE] - AuditEvent [timestamp=1618366174195, type=ContextRefreshed, appName=order, appVersion=1.0.422, scmRevision=78bc326]"
"2021-04-14 02:09:07.497","2021-04-14 04:09:07,497 INFO  [main] [org.springframework.boot.actuate.audit.listener.AuditListener] [NONE] - AuditEvent [timestamp=1618366147496, type=ContextRefreshed, appName=customer, appVersion=1.0.48, scmRevision=e1e335f]"
"2021-04-14 02:09:05.379","2021-04-14 04:09:05,379 INFO  [main] [org.springframework.boot.actuate.audit.listener.AuditListener] [NONE] - AuditEvent [timestamp=1618366145378, type=ContextRefreshed, appName=customer, appVersion=1.0.48, scmRevision=e1e335f]"
"2021-04-14 02:09:01.435","2021-04-14 04:09:01,435 INFO  [main] [org.springframework.boot.actuate.audit.listener.AuditListener] [NONE] - AuditEvent [timestamp=1618366141434, type=ContextRefreshed, appName=adress, appVersion=1.0.41, scmRevision=e9c131b]"
"2021-04-14 02:08:58.384","2021-04-14 04:08:58,384 INFO  [main] [org.springframework.boot.actuate.audit.listener.AuditListener] [NONE] - AuditEvent [timestamp=1618366138384, type=ContextRefreshed, appName=adress, appVersion=1.0.41, scmRevision=e9c131b]"
"2021-04-14 01:50:47.329","2021-04-14 03:50:47,329 INFO  [main] [org.springframework.boot.actuate.audit.listener.AuditListener] [NONE] - AuditEvent [timestamp=1618365047328, type=ContextRefreshed, appName=shipping, appVersion=1.0.342, scmRevision=d965b23]"
"2021-04-14 01:50:41.734","2021-04-14 03:50:41,734 INFO  [main] [org.springframework.boot.actuate.audit.listener.AuditListener] [NONE] - AuditEvent [timestamp=1618365041733, type=ContextRefreshed, appName=shipping, appVersion=1.0.342, scmRevision=d965b23]"
"2021-04-14 01:50:21.703","2021-04-14 03:50:21,703 INFO  [main] [org.springframework.boot.actuate.audit.listener.AuditListener] [NONE] - AuditEvent [timestamp=1618365021703, type=ContextRefreshed, appName=billing, appVersion=1.0.151, scmRevision=9a12fef]"
"2021-04-14 01:50:18.473","2021-04-14 03:50:18,473 INFO  [main] [org.springframework.boot.actuate.audit.listener.AuditListener] [NONE] - AuditEvent [timestamp=1618365018414, type=ContextRefreshed, appName=billing, appVersion=1.0.151, scmRevision=9a12fef]"
"2021-04-14 01:40:43.874","2021-04-14 03:40:43,874 INFO  [main] [org.springframework.boot.actuate.audit.listener.AuditListener] [NONE] - AuditEvent [timestamp=1618364443874, type=ContextRefreshed, appName=storage, appVersion=1.0.114, scmRevision=a8ed4a3]"
"2021-04-14 01:40:41.782","2021-04-14 03:40:41,782 INFO  [main] [org.springframework.boot.actuate.audit.listener.AuditListener] [NONE] - AuditEvent [timestamp=1618364441781, type=ContextRefreshed, appName=storage, appVersion=1.0.114, scmRevision=a8ed4a3]"
"2021-04-14 01:33:01.846","2021-04-14 03:33:01,846 INFO  [main] [org.springframework.boot.actuate.audit.listener.AuditListener] [NONE] - AuditEvent [timestamp=1618363981845, type=ContextRefreshed, appName=order, appVersion=1.0.422, scmRevision=78bc326]"
"2021-04-14 01:32:57.677","2021-04-14 03:32:57,677 INFO  [main] [org.springframework.boot.actuate.audit.listener.AuditListener] [NONE] - AuditEvent [timestamp=1618363977675, type=ContextRefreshed, appName=order, appVersion=1.0.422, scmRevision=78bc326]"
